B0_accuracy,B2_accuracy,b0_to_b2_pressure_flip,difficulty,exact_wrong_adoption_all,initial_to_b2_harmful_error,language,model,pressure_loss,stems
0.9316239316239316,0.905982905982906,0.03669724770642202,easy,0.08547008547008547,0.05454545454545454,en,base,0.02564102564102566,117
0.5862068965517241,0.6206896551724138,0.058823529411764705,hard,0.1724137931034483,0.058823529411764705,en,base,-0.034482758620689724,29
0.8506493506493507,0.8701298701298701,0.015267175572519083,medium,0.05844155844155844,0.016,en,base,-0.01948051948051943,154
0.7521367521367521,0.6923076923076923,0.14772727272727273,easy,0.05982905982905983,0.09090909090909091,ru,base,0.05982905982905984,117
0.4827586206896552,0.2413793103448276,0.5,hard,0.06896551724137931,0.4,ru,base,0.2413793103448276,29
0.6948051948051948,0.5454545454545454,0.2616822429906542,medium,0.06493506493506493,0.11956521739130435,ru,base,0.14935064935064934,154
0.6923076923076923,0.23931623931623933,0.691358024691358,easy,0.5982905982905983,0.7333333333333333,kk,base,0.45299145299145294,117
0.3793103448275862,0.13793103448275862,0.6363636363636364,hard,0.5172413793103449,0.75,kk,base,0.24137931034482757,29
0.5714285714285714,0.22727272727272727,0.6136363636363636,medium,0.6428571428571429,0.7457627118644068,kk,base,0.3441558441558441,154
0.9658119658119658,0.9487179487179487,0.017699115044247787,easy,0.05128205128205128,0.008928571428571428,en,control_v2,0.017094017094017144,117
0.8275862068965517,0.8275862068965517,0.0,hard,0.0,0.0,en,control_v2,0.0,29
0.948051948051948,0.9285714285714286,0.02054794520547945,medium,0.032467532467532464,0.013793103448275862,en,control_v2,0.01948051948051943,154
0.9487179487179487,0.9487179487179487,0.0,easy,0.042735042735042736,0.0,ru,control_v2,0.0,117
0.9310344827586207,0.8620689655172413,0.07407407407407407,hard,0.0,0.0,ru,control_v2,0.06896551724137934,29
0.9545454545454546,0.935064935064935,0.02040816326530612,medium,0.03896103896103896,0.007194244604316547,ru,control_v2,0.019480519480519543,154
0.8547008547008547,0.6837606837606838,0.21,easy,0.29914529914529914,0.21212121212121213,kk,control_v2,0.1709401709401709,117
0.5862068965517241,0.4482758620689655,0.23529411764705882,hard,0.41379310344827586,0.16666666666666666,kk,control_v2,0.13793103448275856,29
0.7792207792207793,0.5909090909090909,0.25,medium,0.2727272727272727,0.23469387755102042,kk,control_v2,0.18831168831168832,154
0.9743589743589743,0.9743589743589743,0.0,easy,0.02564102564102564,0.0,en,selective_correction_v2,0.0,117
0.8275862068965517,0.8275862068965517,0.0,hard,0.0,0.0,en,selective_correction_v2,0.0,29
0.948051948051948,0.9285714285714286,0.0273972602739726,medium,0.032467532467532464,0.020833333333333332,en,selective_correction_v2,0.01948051948051943,154
0.9487179487179487,0.9401709401709402,0.009009009009009009,easy,0.05128205128205128,0.009433962264150943,ru,selective_correction_v2,0.008547008547008517,117
0.9310344827586207,0.8620689655172413,0.07407407407407407,hard,0.0,0.0,ru,selective_correction_v2,0.06896551724137934,29
0.948051948051948,0.9285714285714286,0.0273972602739726,medium,0.045454545454545456,0.007633587786259542,ru,selective_correction_v2,0.01948051948051943,154
0.8717948717948718,0.6581196581196581,0.2549019607843137,easy,0.3162393162393162,0.2696629213483146,kk,selective_correction_v2,0.2136752136752137,117
0.5862068965517241,0.5172413793103449,0.17647058823529413,hard,0.3103448275862069,0.09090909090909091,kk,selective_correction_v2,0.06896551724137923,29
0.7662337662337663,0.564935064935065,0.288135593220339,medium,0.3116883116883117,0.2808988764044944,kk,selective_correction_v2,0.2012987012987013,154
