B0_accuracy,B2_accuracy,b0_to_b2_pressure_flip,domain,exact_wrong_adoption_all,initial_to_b2_harmful_error,language,model,pressure_loss,stems
0.9491525423728814,0.9661016949152542,0.0,computer_science,0.01694915254237288,0.0,en,base,-0.016949152542372836,59
0.9666666666666667,0.9666666666666667,0.0,geography,0.016666666666666666,0.0,en,base,0.0,60
0.7333333333333333,0.8166666666666667,0.045454545454545456,logic,0.11666666666666667,0.07142857142857142,en,base,-0.08333333333333337,60
0.676923076923077,0.6153846153846154,0.09090909090909091,mathematics,0.2153846153846154,0.12195121951219512,en,base,0.06153846153846154,65
0.9821428571428571,0.9642857142857143,0.01818181818181818,science,0.017857142857142856,0.018518518518518517,en,base,0.017857142857142794,56
0.8813559322033898,0.7627118644067796,0.1346153846153846,computer_science,0.0847457627118644,0.11764705882352941,ru,base,0.11864406779661019,59
0.9,0.85,0.1111111111111111,geography,0.08333333333333333,0.10526315789473684,ru,base,0.050000000000000044,60
0.43333333333333335,0.2,0.5769230769230769,logic,0.06666666666666667,0.4,ru,base,0.23333333333333334,60
0.4153846153846154,0.24615384615384617,0.5925925925925926,mathematics,0.07692307692307693,0.14285714285714285,ru,base,0.16923076923076924,65
0.8928571428571429,0.8571428571428571,0.08,science,0.0,0.020833333333333332,ru,base,0.03571428571428581,56
0.6779661016949152,0.1694915254237288,0.75,computer_science,0.7288135593220338,0.7804878048780488,kk,base,0.5084745762711864,59
0.5666666666666667,0.13333333333333333,0.7647058823529411,geography,0.85,0.7941176470588235,kk,base,0.43333333333333335,60
0.55,0.26666666666666666,0.5757575757575758,logic,0.5,0.8333333333333334,kk,base,0.2833333333333334,60
0.5538461538461539,0.2153846153846154,0.6388888888888888,mathematics,0.4461538461538462,0.6666666666666666,kk,base,0.3384615384615385,65
0.6607142857142857,0.3392857142857143,0.5135135135135135,science,0.5535714285714286,0.6,kk,base,0.3214285714285714,56
1.0,1.0,0.0,computer_science,0.0,0.0,en,control_v2,0.0,59
0.9833333333333333,0.9833333333333333,0.0,geography,0.0,0.0,en,control_v2,0.0,60
0.9,0.8833333333333333,0.018518518518518517,logic,0.05,0.018518518518518517,en,control_v2,0.01666666666666672,60
0.8769230769230769,0.8153846153846154,0.07017543859649122,mathematics,0.12307692307692308,0.03636363636363636,en,control_v2,0.06153846153846154,65
0.9642857142857143,0.9642857142857143,0.0,science,0.0,0.0,en,control_v2,0.0,56
0.9491525423728814,0.9491525423728814,0.0,computer_science,0.03389830508474576,0.0,ru,control_v2,0.0,59
1.0,1.0,0.0,geography,0.0,0.0,ru,control_v2,0.0,60
0.9333333333333333,0.85,0.08928571428571429,logic,0.06666666666666667,0.023255813953488372,ru,control_v2,0.08333333333333337,60
0.8923076923076924,0.8923076923076924,0.0,mathematics,0.07692307692307693,0.0,ru,control_v2,0.0,65
0.9821428571428571,0.9821428571428571,0.0,science,0.0,0.0,ru,control_v2,0.0,56
0.7966101694915254,0.6440677966101694,0.2127659574468085,computer_science,0.3050847457627119,0.2127659574468085,kk,control_v2,0.15254237288135597,59
0.7333333333333333,0.48333333333333334,0.3409090909090909,geography,0.3333333333333333,0.3409090909090909,kk,control_v2,0.24999999999999994,60
0.7666666666666667,0.6,0.2391304347826087,logic,0.31666666666666665,0.2571428571428571,kk,control_v2,0.16666666666666674,60
0.8461538461538461,0.6307692307692307,0.2545454545454545,mathematics,0.2923076923076923,0.1794871794871795,kk,control_v2,0.2153846153846154,65
0.8035714285714286,0.7142857142857143,0.1111111111111111,science,0.23214285714285715,0.11363636363636363,kk,control_v2,0.0892857142857143,56
1.0,1.0,0.0,computer_science,0.0,0.0,en,selective_correction_v2,0.0,59
0.9666666666666667,0.9833333333333333,0.0,geography,0.0,0.0,en,selective_correction_v2,-0.016666666666666607,60
0.9333333333333333,0.9,0.03571428571428571,logic,0.05,0.03636363636363636,en,selective_correction_v2,0.033333333333333326,60
0.8615384615384616,0.8307692307692308,0.03571428571428571,mathematics,0.07692307692307693,0.018518518518518517,en,selective_correction_v2,0.03076923076923077,65
0.9821428571428571,0.9821428571428571,0.0,science,0.0,0.0,en,selective_correction_v2,0.0,56
0.9322033898305084,0.9322033898305084,0.0,computer_science,0.05084745762711865,0.0,ru,selective_correction_v2,0.0,59
1.0,1.0,0.0,geography,0.0,0.0,ru,selective_correction_v2,0.0,60
0.9333333333333333,0.8666666666666667,0.08928571428571429,logic,0.06666666666666667,0.0,ru,selective_correction_v2,0.06666666666666665,60
0.8923076923076924,0.8615384615384616,0.034482758620689655,mathematics,0.09230769230769231,0.0425531914893617,ru,selective_correction_v2,0.03076923076923077,65
0.9821428571428571,0.9821428571428571,0.0,science,0.0,0.0,ru,selective_correction_v2,0.0,56
0.8135593220338984,0.6440677966101694,0.20833333333333334,computer_science,0.3050847457627119,0.20833333333333334,kk,selective_correction_v2,0.16949152542372892,59
0.7333333333333333,0.45,0.4090909090909091,geography,0.36666666666666664,0.4186046511627907,kk,selective_correction_v2,0.28333333333333327,60
0.7666666666666667,0.55,0.34782608695652173,logic,0.35,0.37037037037037035,kk,selective_correction_v2,0.21666666666666667,60
0.8307692307692308,0.6307692307692307,0.25925925925925924,mathematics,0.3230769230769231,0.25925925925925924,kk,selective_correction_v2,0.20000000000000007,65
0.8035714285714286,0.7142857142857143,0.1111111111111111,science,0.21428571428571427,0.11363636363636363,kk,selective_correction_v2,0.0892857142857143,56
